; #NetworkData - datafile

;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle


;ElementTypeName	LTE_SiteIDForCell	Sector_ID	Azimuth	Beamwidth	DL_EARFCN	PCI	MCC	MNC	ECI	TrackingAreaCode	CellType	ElementHandle


;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle

WCDMA_Site	UDFGMA01	UDFGMA01	-16.032404	-48.033621	1009
WCDMA_Site	UDFGMA02	UDFGMA02	-16.017846	-48.068103	1013
WCDMA_Site	UDFGMA03	UDFGMA03	-15.921441	-47.966	1020
WCDMA_Site	UDFGMA04	UDFGMA04	-15.870761	-47.989785	1027
WCDMA_Site	UDFGMA05	UDFGMA05	-15.965089	-48.023981	1032
WCDMA_Site	UDFGMA06	UDFGMA06	-16.006086	-47.996758	1036
WCDMA_Site	UDFGMA07	UDFGMA07	-15.895204	-47.94323	1043
WCDMA_Site	UDFGMA08	UDFGMA08	-15.87084	-47.966396	1047
WCDMA_Site	UDFGMA09	UDFGMA09	-15.851391	-47.951027	1054
WCDMA_Site	UDFGMA10	UDFGMA10	-15.94399	-47.980938	1061
WCDMA_Site	UDFGMA11	UDFGMA11	-16.006699	-48.056404	1065
WCDMA_Site	UDFGMA12	UDFGMA12	-16.02793	-48.054935	1072
WCDMA_Site	UDFGMA13	UDFGMA13	-16.023951	-47.984803	1076
WCDMA_Site	UDFGMA14	UDFGMA14	-15.886136	-47.982846	1080
WCDMA_Site	UDFGMA16	UDFGMA16	-16.042914	-48.033687	1087
WCDMA_Site	UDFGMA17	UDFGMA17	-16.010847	-48.081421	1094
WCDMA_Site	UDFGMA18	UDFGMA18	-15.85164	-47.96521	1098
WCDMA_Site	UDFGMA19	UDFGMA19	-15.858328	-47.999471	1105
WCDMA_Site	UDFGMA20	UDFGMA20	-16.018112	-48.018113	1109
WCDMA_Site	UDFGMA22	UDFGMA22	-15.948273	-48.038894	1116
WCDMA_Site	UDFGMA23	UDFGMA23	-15.927872	-47.948792	1120
WCDMA_Site	UDFGMA24	UDFGMA24	-15.8979	-47.917552	1124
WCDMA_Site	UDFSOB01	UDFSOB01	-15.612921	-47.652178	1131
WCDMA_Site	UDFSOB03	UDFSOB03	-15.690464	-47.8578	1135
WCDMA_Site	UDFSOB04	UDFSOB04	-15.710618	-47.808593	1139
WCDMA_Site	UDFSOB05	UDFSOB05	-15.681856	-47.83568	1143
WCDMA_Site	UDFSOB06	UDFSOB06	-15.661703	-47.8541	1150
WCDMA_Site	UDFSOB07	UDFSOB07	-15.639759	-47.640741	1157
WCDMA_Site	UDFSOB08	UDFSOB08	-15.618963	-47.948028	1161
WCDMA_Site	UDFSOB09	UDFSOB09	-15.652104	-47.792403	1168
WCDMA_Site	UDFSOB10	UDFSOB10	-15.632704	-47.833203	1175
WCDMA_Site	UDFSOB13	UDFSOB13	-15.646683	-47.768375	1179
WCDMA_Site	UDFSOB14	UDFSOB14	-15.622938	-47.680381	1186
WCDMA_Site	UDFSOB16	UDFSOB16	-15.637856	-47.847543	1193
WCDMA_Site	UDFSOB20	UDFSOB20	-15.677846	-47.655887	1200
