; #NetworkData - datafile

;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle

GSM_Site	FN398	FN398	-33.02852774	-71.23911123	2004
GSM_Site	FN399	FN399	-32.92874996	-71.37216688	2007
GSM_Site	FN400	FN400	-32.9195278	-71.27133337	2011
GSM_Site	FN401	FN401	-32.8845556	-71.20836108	2014
GSM_Site	FN402	FN402	-32.74311111	-70.95252776	2017
GSM_Site	FN420	FN420	-32.82691668	-71.02088889	2020
GSM_Site	FN421	FN421	-32.82772225	-71.0729168	2023
GSM_Site	FN422	FN422	-33.06522218	-71.06883335	2026
GSM_Site	FN424	FN424	-33.02675	-71.0563334	2029
GSM_Site	FN425	FN425	-32.6926389	-70.92672228	2032
GSM_Site	FN427	FN427	-32.87136111	-70.9487777	2036
GSM_Site	FN428	FN428	-33.85488885	-70.992139	2039
GSM_Site	FN429	FN429	-32.8576111	-70.91825005	2042
GSM_Site	RV080	RV080	-33.06209402	-71.39261089	2047
GSM_Site	RV857	RV857	-33.07333302	-71.21805589	2051
GSM_Site	VA059	VA059	-32.972308	-71.25336904	2055
GSM_Site	VA060	VA060	-32.78307266	-71.15175248	2059
GSM_Site	VA062	VA062	-33.08763093	-71.32313304	2063
GSM_Site	VA068	VA068	-33.04299899	-71.376332	2067
GSM_Site	VA122	VA122	-32.87057809	-70.81451606	2070
GSM_Site	VA123	VA123	-32.67834986	-71.24203148	2074
GSM_Site	VA185	VA185	-32.82374995	-70.94953011	2078
GSM_Site	VA195	VA195	-32.82402996	-71.22157996	2081
GSM_Site	VA239	VA239	-32.88056779	-71.24370084	2083
GSM_Site	VA317	VA317	-32.88655803	-71.25181702	2087
GSM_Site	VA329	VA329	-33.05568057	-71.10051949	2091
GSM_Site	VA339	VA339	-32.8141824	-71.19370186	2094
GSM_Site	VA345	VA345	-32.661052	-71.17769487	2098
GSM_Site	VA549	VA549	-32.79121998	-71.18869	2101
GSM_Site	VA577	VA577	-33.00985996	-71.27502011	2105
GSM_Site	VA762	VA762	-32.98394001	-71.19385995	2109
GSM_Site	VA770	VA770	-32.880611	-71.2438751	2113
GSM_Site	VA793	VA793	-32.74908001	-71.21171984	2117
GSM_Site	VA814	VA814	-32.8594663	-70.85507331	2119
GSM_Site	VA852	VA852	-32.81113404	-70.85701583	2123
GSM_Site	VA878	VA878	-33.04494396	-71.39744392	2127
GSM_Site	VA948	VA948	-32.77584982	-71.19230976	2131
GSM_Site	VA952	VA952	-32.9469563	-71.34843276	2135
GSM_Site	VA966	VA966	-33.05139941	-71.3684365	2139
GSM_Site	VR243	VR243	-32.92557772	-70.80507251	2142
GSM_Site	VR245	VR245	-32.97257998	-71.25356014	2146
GSM_Site	VR246	VR246	-33.00433005	-71.15249989	2150
GSM_Site	VR251	VR251	-32.8375	-71.10339983	2154
GSM_Site	VR252	VR252	-32.83700008	-70.9642001	2158
GSM_Site	VR254	VR254	-32.57361106	-71.25805552	2162
GSM_Site	VR255	VR255	-32.69336006	-71.2192201	2166
GSM_Site	VR257	VR257	-32.77779848	-70.95868739	2170
GSM_Site	VR258	VR258	-32.89413993	-71.25247006	2174
GSM_Site	VR260	VR260	-33.03917842	-71.30759977	2178
GSM_Site	VR261	VR261	-33.16945799	-71.13052801	2182
GSM_Site	VR333	VR333	-32.86834744	-71.27370467	2186
GSM_Site	VR334	VR334	-32.90640565	-71.11064228	2189
GSM_Site	VR497	VR497	-32.78400001	-71.21663889	2193
GSM_Site	VR501	VR501	-32.59835054	-71.24647432	2195
GSM_Site	VR545	VR545	-33.05742	-71.40170018	2199
GSM_Site	VR546	VR546	-33.06663798	-71.36572216	2203
GSM_Site	VR547	VR547	-33.04858	-71.34041986	2207
GSM_Site	VR548	VR548	-33.03990798	-71.41484991	2211
GSM_Site	VR554	VR554	-32.96444399	-71.28972212	2214
GSM_Site	VR564	VR564	-32.80527998	-71.13678013	2218
GSM_Site	VR565	VR565	-32.81502093	-70.96618907	2222
GSM_Site	VR573	VR573	-32.98112494	-71.27318086	2226
GSM_Site	VR691	VR691	-33.05197198	-71.40966695	2230
GSM_Site	VR693	VR693	-33.05966621	-71.38216585	2234
GSM_Site	VR694	VR694	-33.06077806	-71.34744093	2238
GSM_Site	VR695	VR695	-33.04223307	-71.35361032	2242
GSM_Site	VR696	VR696	-33.04891701	-71.38500013	2246
GSM_Site	VR699	VR699	-32.87022202	-71.24100016	2250
GSM_Site	VR700	VR700	-32.876667	-71.25324988	2254
GSM_Site	VR701	VR701	-32.88799897	-71.26020759	2258
GSM_Site	VR702	VR702	-32.90362511	-71.25898286	2262

;ElementTypeName	GSM_SiteIDForCell	Sector_ID	Azimuth	Beamwidth	BCCH	BSIC	MCC	MNC	CI	BSCID	BSCName	LAC	CellType	ElementHandle

GSM_Cell	FN398	FN398-1	10	66.5	556	21	730	1	13987	1001	QUB01	5008	0	2001
GSM_Cell	FN398	FN398-2	100	66.5	541	22	730	1	13988	1001	QUB01	5008	0	2002
GSM_Cell	FN398	FN398-3	200	66.5	585	23	730	1	13989	1001	QUB01	5008	0	2003
GSM_Cell	FN399	FN399-1	90	66	535	21	730	1	13997	1001	QUB01	5008	0	2005
GSM_Cell	FN399	FN399-2	330	66.5	543	22	730	1	13998	1001	QUB01	5008	0	2006
GSM_Cell	FN400	FN400-1	170	66	540	13	730	1	14007	1001	QUB01	5008	0	2008
GSM_Cell	FN400	FN400-2	260	66	569	26	730	1	14008	1001	QUB01	5008	0	2009
GSM_Cell	FN400	FN400-3	340	66	534	41	730	1	14009	1001	QUB01	5008	0	2010
GSM_Cell	FN401	FN401-1	10	66	516	20	730	1	14017	1001	QUB01	5008	0	2012
GSM_Cell	FN401	FN401-2	200	66	545	21	730	1	14018	1001	QUB01	5008	0	2013
GSM_Cell	FN402	FN402-1	45	66	545	11	730	1	14027	1001	QUB01	5008	0	2015
GSM_Cell	FN402	FN402-2	150	66.5	512	14	730	1	14028	1001	QUB01	5008	0	2016
GSM_Cell	FN420	FN420-1	80	66	543	21	730	1	14207	1001	QUB01	5008	0	2018
GSM_Cell	FN420	FN420-2	280	66	559	22	730	1	14208	1001	QUB01	5008	0	2019
GSM_Cell	FN421	FN421-1	80	66	512	31	730	1	14217	1001	QUB01	5008	0	2021
GSM_Cell	FN421	FN421-2	240	66	530	32	730	1	14218	1001	QUB01	5008	0	2022
GSM_Cell	FN422	FN422-1	50	66	518	31	730	1	14227	1001	QUB01	5008	0	2024
GSM_Cell	FN422	FN422-2	140	66	520	32	730	1	14228	1001	QUB01	5008	0	2025
GSM_Cell	FN424	FN424-1	60	66	560	10	730	1	14247	1001	QUB01	5008	0	2027
GSM_Cell	FN424	FN424-2	210	66	558	11	730	1	14248	1001	QUB01	5008	0	2028
GSM_Cell	FN425	FN425-1	210	66	560	21	730	1	14257	1001	QUB01	5008	0	2030
GSM_Cell	FN425	FN425-2	305	66	562	22	730	1	14258	1001	QUB01	5008	0	2031
GSM_Cell	FN427	FN427-1	110	66	523	31	730	1	14277	1001	QUB01	5008	0	2033
GSM_Cell	FN427	FN427-2	210	66	517	32	730	1	14278	1001	QUB01	5008	0	2034
GSM_Cell	FN427	FN427-3	340	66	520	33	730	1	14279	1001	QUB01	5008	0	2035
GSM_Cell	FN428	FN428-1	80	66	567	16	730	1	14287	1001	QUB01	13004	0	2037
GSM_Cell	FN428	FN428-2	180	66	578	24	730	1	14288	1001	QUB01	13004	0	2038
GSM_Cell	FN429	FN429-1	0	66	543	41	730	1	14297	1001	QUB01	5008	0	2040
GSM_Cell	FN429	FN429-2	100	66	751	42	730	1	14298	1001	QUB01	5008	0	2041
GSM_Cell	RV080	RV080-1	0	66.5	513	25	730	1	40801	1001	QUB01	5005	0	2044
GSM_Cell	RV080	RV080-2	120	66	540	34	730	1	40802	1001	QUB01	5005	0	2045
GSM_Cell	RV080	RV080-3	240	66.5	566	40	730	1	40803	1001	QUB01	5005	0	2046
GSM_Cell	RV857	RV857-1	0	64	514	27	730	1	48571	1001	QUB01	5008	0	2048
GSM_Cell	RV857	RV857-2	120	64	531	17	730	1	48572	1001	QUB01	5008	0	2049
GSM_Cell	RV857	RV857-3	240	64	549	7	730	1	48573	1001	QUB01	5008	0	2050
GSM_Cell	VA059	VA059-1	0	59.5	542	6	730	1	20591	1001	QUB01	5008	0	2052
GSM_Cell	VA059	VA059-2	115	59.5	546	1	730	1	20592	1001	QUB01	5008	0	2053
GSM_Cell	VA059	VA059-3	210	63.5	560	5	730	1	20593	1001	QUB01	5008	0	2054
GSM_Cell	VA060	VA060-1	0	360	538	5	730	1	20601	1001	QUB01	5008	0	2056
GSM_Cell	VA060	VA060-2	240	66	520	1	730	1	20602	1001	QUB01	5008	0	2057
GSM_Cell	VA060	VA060-3	240	89	540	6	730	1	20603	1001	QUB01	5008	0	2058
GSM_Cell	VA062	VA062-1	20	67	580	5	730	1	20621	1001	QUB01	5005	0	2060
GSM_Cell	VA062	VA062-2	220	66	569	0	730	1	20622	1001	QUB01	5005	0	2061
GSM_Cell	VA062	VA062-3	300	67.5	538	4	730	1	20623	1001	QUB01	5005	0	2062
GSM_Cell	VA068	VA068-1	100	59.5	555	7	730	1	20681	1001	QUB01	5005	0	2064
GSM_Cell	VA068	VA068-2	180	59.5	566	4	730	1	20682	1001	QUB01	5005	0	2065
GSM_Cell	VA068	VA068-3	270	89	570	0	730	1	20683	1001	QUB01	5005	0	2066
GSM_Cell	VA122	VA122-1	200	63.5	514	7	730	1	21221	1001	QUB01	5008	0	2068
