; #NetworkData - datafile

;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle

LTE_Site	305320007	305320007	51.4632514	7.00607805	112177
LTE_Site	305320008	305320008	51.4714392	7.01526058	112178
LTE_Site	305320017	305320017	51.4747066	6.95250485	112179
LTE_Site	305320020	305320020	51.5087712	7.00646845	112180
LTE_Site	305320024	305320024	51.4807505	7.02607501	112181
LTE_Site	305320030	305320030	51.4654093	7.08154089	112182
LTE_Site	305320049	305320049	51.4963685	7.18897901	112183
LTE_Site	305320055	305320055	51.4794864	7.22184418	112184
LTE_Site	305320056	305320056	51.4791418	7.24732369	112185
LTE_Site	305320057	305320057	51.475896	7.18870302	112186
LTE_Site	305320059	305320059	51.4572084	7.23803045	112187
LTE_Site	305320066	305320066	51.5086037	7.07830113	112188
LTE_Site	305320073	305320073	51.5224009	7.10308145	112189
LTE_Site	305320075	305320075	51.5355562	7.12627416	112190
LTE_Site	305320077	305320077	51.511997	7.15471364	112191
LTE_Site	305320079	305320079	51.4577971	7.08797549	112192
LTE_Site	305320084	305320084	51.4191458	7.07250858	112193
LTE_Site	305320112	305320112	51.4710146	7.29419692	112194
LTE_Site	305320128	305320128	51.5182858	6.87360138	112195
LTE_Site	305320155	305320155	51.4519696	6.88326655	112196
LTE_Site	305320163	305320163	51.4208089	6.84659371	112197
LTE_Site	305320172	305320172	51.470617	6.88667495	112198
LTE_Site	305320203	305320203	51.4614424	6.76401992	112199
LTE_Site	305320206	305320206	51.4780827	6.80807589	112200
LTE_Site	305320217	305320217	51.4848057	6.83413129	112201
LTE_Site	305320219	305320219	51.4370126	6.83560525	112202
LTE_Site	305320320	305320320	51.3554189	6.77805581	112203
LTE_Site	305320338	305320338	51.601769	6.7004375	112204
LTE_Site	305320348	305320348	51.5414307	6.78477839	112205
LTE_Site	305320353	305320353	51.5099925	6.82479744	112206
LTE_Site	305320357	305320357	51.5512094	6.83645816	112207
LTE_Site	305320379	305320379	51.4572253	7.44279883	112208
LTE_Site	305320388	305320388	51.5276444	7.446883	112209
LTE_Site	305320405	305320405	51.4958105	7.48364973	112210
LTE_Site	305320418	305320418	51.5484363	7.53863291	112211
LTE_Site	305320438	305320438	51.4936252	7.55697438	112212
LTE_Site	305320441	305320441	51.5239448	7.55921535	112213
LTE_Site	305320470	305320470	51.4850926	7.50299512	112214
LTE_Site	305320488	305320488	51.4351054	6.71960825	112215
LTE_Site	305320532	305320532	51.5732659	7.11114952	112216
LTE_Site	305320554	305320554	51.5391692	7.17355069	112217
LTE_Site	305320556	305320556	51.5239307	7.19024193	112218
LTE_Site	305320560	305320560	51.5276869	7.22191279	112219
LTE_Site	305320562	305320562	51.5415566	7.21833067	112220
LTE_Site	305320575	305320575	51.564711	7.17958034	112221
LTE_Site	305320626	305320626	51.5008241	7.28107988	112222
LTE_Site	305320628	305320628	51.4946172	7.32898625	112223
LTE_Site	305320672	305320672	51.3287382	7.01566294	112224
LTE_Site	305320727	305320727	51.3939654	7.19260121	112225
LTE_Site	305320779	305320779	51.4895341	6.90891543	112226
LTE_Site	305320781	305320781	51.463677	6.83347677	112227
LTE_Site	305320782	305320782	51.4974146	6.84223261	112228
LTE_Site	305320804	305320804	51.3765199	7.70161628	112229
LTE_Site	305320814	305320814	51.3877391	7.66490886	112230
LTE_Site	305320855	305320855	51.4986325	7.12089001	112231
LTE_Site	305320913	305320913	51.4028025	6.70842375	86473
LTE_Site	305320933	305320933	51.5428907	7.44969411	112232
LTE_Site	305320992	305320992	51.4420421	7.14156771	112233
LTE_Site	305321173	305321173	52.1096047	8.65578054	112234
LTE_Site	305321507	305321507	51.9608601	7.68661217	112235
LTE_Site	305321512	305321512	51.9965551	7.65586477	112236
LTE_Site	305321515	305321515	51.9991834	7.59381258	112237
LTE_Site	305321537	305321537	51.9064682	7.66932252	112238
LTE_Site	305321575	305321575	52.2814789	8.07096947	112239
LTE_Site	305321590	305321590	52.2478499	8.06316453	112240
LTE_Site	305321679	305321679	52.2063713	8.57613045	112241
LTE_Site	305321698	305321698	51.6704045	8.75003437	112242
LTE_Site	305321927	305321927	51.6923832	8.73516258	112243
LTE_Site	305321953	305321953	51.9621726	7.64458431	112244
LTE_Site	305321957	305321957	51.9700883	7.59299151	112245
LTE_Site	305321993	305321993	51.7115885	8.77310136	112246
LTE_Site	305322015	305322015	51.8421476	6.8609946	112247
LTE_Site	305322082	305322082	51.9882973	6.91044021	112248
LTE_Site	305322120	305322120	51.8010282	8.82775526	112249
LTE_Site	305322165	305322165	51.4540847	6.92184502	112250
LTE_Site	305322190	305322190	51.4040782	6.78077176	112251
LTE_Site	305322303	305322303	51.4220393	6.68820828	112252
LTE_Site	305322355	305322355	51.3605565	6.7337093	112253
LTE_Site	305322403	305322403	51.4430303	6.89980555	112254
LTE_Site	305322407	305322407	51.4478702	6.95543187	112255
LTE_Site	305322408	305322408	51.4322118	6.77296558	112256
LTE_Site	305322424	305322424	51.5248455	7.46919814	112257
LTE_Site	305322440	305322440	51.4149418	6.9055497	112258
LTE_Site	305322465	305322465	51.5008714	6.97665315	112259
LTE_Site	305322473	305322473	51.4968142	7.01806509	112260
LTE_Site	305322482	305322482	51.3604952	7.2516401	112261
LTE_Site	305322502	305322502	51.4281949	6.97162515	112262
LTE_Site	305322547	305322547	51.5300486	7.08193817	112263
LTE_Site	305322549	305322549	51.481453	7.11634134	112264
LTE_Site	305322557	305322557	51.4946177	6.94169042	86474
LTE_Site	305322581	305322581	51.4134301	6.66840094	112265
LTE_Site	305322600	305322600	51.3721528	6.95396632	112266
LTE_Site	305322610	305322610	51.3518988	6.7920516	112267
LTE_Site	305322614	305322614	51.5281964	6.70566004	112268
LTE_Site	305322620	305322620	51.3895914	6.72662801	112269
LTE_Site	305322658	305322658	51.5111356	7.19175735	112270
LTE_Site	305322662	305322662	51.4909057	7.23574188	112271
LTE_Site	305322665	305322665	51.4587526	7.21738342	112272
LTE_Site	305322683	305322683	51.4991043	7.25803656	112273
LTE_Site	305322703	305322703	51.5305894	7.53037001	112274
LTE_Site	305322800	305322800	51.4524027	7.02475123	112275
LTE_Site	305322802	305322802	51.4407083	6.98884964	112276
LTE_Site	305322821	305322821	51.4537855	6.71080675	112277
LTE_Site	305322895	305322895	51.5084539	7.3876263	112278
LTE_Site	305322899	305322899	51.5280948	6.83242344	112279
LTE_Site	305322988	305322988	51.5188858	7.12767874	112280
LTE_Site	305323151	305323151	51.5146423	7.50467769	112281
LTE_Site	305323169	305323169	51.332191	7.04592159	112282
LTE_Site	305323207	305323207	51.5214631	6.92248259	112283
LTE_Site	305323214	305323214	51.4660888	6.94805483	112284
LTE_Site	305323247	305323247	51.4166172	6.75801314	112285
LTE_Site	305323248	305323248	51.5527278	6.93826107	112286
LTE_Site	305323400	305323400	51.8838036	8.44179117	112287
LTE_Site	305323788	305323788	51.4690239	6.85095609	112288
LTE_Site	305323790	305323790	51.5015883	6.88580787	112289
LTE_Site	305323792	305323792	52.0612804	7.36065373	112290
LTE_Site	305323866	305323866	52.0824459	7.77229911	86475
LTE_Site	305323867	305323867	52.0673041	7.92440965	112291
LTE_Site	305323904	305323904	51.9831126	6.94786138	112292
LTE_Site	305323931	305323931	51.5499207	7.14493253	112293
LTE_Site	306320100	306320100	50.9356668	6.95548217	112294
LTE_Site	306320105	306320105	50.938555	6.9617868	112295
LTE_Site	306320135	306320135	50.8618046	6.5744126	86476
LTE_Site	306320200	306320200	50.9367806	6.93194285	112296
LTE_Site	306320201	306320201	50.9444622	6.95565135	112297
LTE_Site	306320202	306320202	50.9451491	6.94510483	86477
LTE_Site	306320207	306320207	50.9430371	6.97758522	112298
LTE_Site	306320208	306320208	50.9300425	6.95671036	86478
LTE_Site	306320212	306320212	50.9297151	6.94420595	86479
LTE_Site	306320213	306320213	50.9412853	7.00905109	112299
LTE_Site	306320218	306320218	50.9367644	6.97357472	86480
LTE_Site	306320219	306320219	50.9314657	6.94099896	112300
LTE_Site	306320220	306320220	50.8034278	6.48195034	112301
LTE_Site	306320225	306320225	50.7963365	6.46712392	112302
LTE_Site	306320238	306320238	50.7157035	6.52904164	112303
LTE_Site	306320239	306320239	50.8486644	6.43219321	112304
LTE_Site	306320251	306320251	50.6893254	6.50338013	112305
LTE_Site	306320267	306320267	50.95094	6.42381243	112306
LTE_Site	306320272	306320272	50.9344586	6.35680389	112307
LTE_Site	306320281	306320281	51.006296	6.41809556	112308
