; #NetworkData - datafile

;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle

WCDMA_Site	508310002	508310002	49.4488457	11.065254	130164
WCDMA_Site	508310003	508310003	49.4355831	11.0677163	130165
WCDMA_Site	508310004	508310004	49.4517079	11.0781466	130166
WCDMA_Site	508310006	508310006	49.4315559	11.1114045	130167
WCDMA_Site	508310007	508310007	49.4633188	11.1028918	130168
WCDMA_Site	508310008	508310008	49.4631926	11.0870345	130169
WCDMA_Site	508310009	508310009	49.4584048	11.0337898	130170
WCDMA_Site	508310010	508310010	49.0258755	12.116817	130171
WCDMA_Site	508310011	508310011	49.4303102	11.0441532	130172
WCDMA_Site	508310012	508310012	49.4288242	11.0192205	130173
WCDMA_Site	508310013	508310013	49.4528156	11.1176838	130174
WCDMA_Site	508310014	508310014	49.4587869	11.0979385	130175
WCDMA_Site	508310015	508310015	49.4714806	10.9908526	130176
WCDMA_Site	508310016	508310016	49.4988662	10.9968377	130177
WCDMA_Site	508310017	508310017	49.4813802	11.002861	130178
WCDMA_Site	508310018	508310018	49.4839237	10.9620421	130179
WCDMA_Site	508310021	508310021	49.4589189	11.0002067	130180
WCDMA_Site	508310022	508310022	49.4677363	11.0138942	130181
WCDMA_Site	508310023	508310023	49.461312	10.9173653	130182
WCDMA_Site	508310024	508310024	49.5120606	11.0148032	130183
WCDMA_Site	508310025	508310025	49.5308366	10.9624837	130184
WCDMA_Site	508310026	508310026	49.4412797	11.0186291	130185
WCDMA_Site	508310027	508310027	49.4379577	10.9924313	130186
WCDMA_Site	508310028	508310028	49.4434222	10.9546738	130187
WCDMA_Site	508310029	508310029	49.4313741	10.9699533	130188
WCDMA_Site	508310030	508310030	49.4014976	11.0186639	130189
WCDMA_Site	508310031	508310031	49.4091681	11.0335314	130190
WCDMA_Site	508310032	508310032	49.3986634	11.067074	130191
WCDMA_Site	508310033	508310033	49.4062596	11.0847149	130192
WCDMA_Site	508310034	508310034	49.4419651	11.0461273	130193
WCDMA_Site	508310035	508310035	49.4536241	11.0483785	130194
WCDMA_Site	508310036	508310036	49.0127724	12.0549767	130195
WCDMA_Site	508310037	508310037	49.4704032	11.0670853	130196
WCDMA_Site	508310039	508310039	49.9041416	10.8513431	130197
WCDMA_Site	508310040	508310040	49.4933388	11.0788055	130198
WCDMA_Site	508310041	508310041	49.4848409	11.0952567	130199
WCDMA_Site	508310042	508310042	49.480378	11.1225165	130200
WCDMA_Site	508310043	508310043	49.4655604	11.1140944	130201
WCDMA_Site	508310045	508310045	49.4588048	11.1478773	130202
WCDMA_Site	508310046	508310046	49.4634619	11.1695897	130203
WCDMA_Site	508310047	508310047	49.4449287	11.13239	130204
WCDMA_Site	508310048	508310048	49.446272	11.1076925	130205
WCDMA_Site	508310049	508310049	49.4277594	11.1325551	130206
WCDMA_Site	508310051	508310051	49.4568901	11.0859804	130207
WCDMA_Site	508310053	508310053	49.4288768	11.0886104	130208
WCDMA_Site	508310054	508310054	49.6006109	11.0462187	130209
WCDMA_Site	508310055	508310055	49.4277692	11.0641754	130210
WCDMA_Site	508310056	508310056	49.4003289	11.1376354	130211
WCDMA_Site	508310057	508310057	49.4610139	11.0826929	130212
WCDMA_Site	508310058	508310058	49.4185786	11.1183594	130213
WCDMA_Site	508310059	508310059	49.4002818	11.1623936	130214
WCDMA_Site	508310060	508310060	49.4112801	11.1661985	130215
WCDMA_Site	508310061	508310061	49.4361775	11.0921472	130216
WCDMA_Site	508310062	508310062	49.4445699	11.096959	130217
WCDMA_Site	508310063	508310063	49.421206	11.0301006	130218
WCDMA_Site	508310064	508310064	49.9440016	10.9300877	130219
WCDMA_Site	508310066	508310066	49.9387909	11.5589776	130220
WCDMA_Site	508310067	508310067	49.6797039	11.010308	130221
WCDMA_Site	508310068	508310068	49.5978039	11.0825819	130222
WCDMA_Site	508310069	508310069	49.9471263	11.6149783	130223
WCDMA_Site	508310070	508310070	49.9459156	11.5539488	130224
WCDMA_Site	508310071	508310071	49.9514465	11.5782815	130225
WCDMA_Site	508310072	508310072	49.9667177	11.6003016	130226
WCDMA_Site	508310073	508310073	49.9350959	11.569913	130227
WCDMA_Site	508310074	508310074	49.908364	11.6060713	130228
WCDMA_Site	508310075	508310075	49.9375118	11.5068317	130229
WCDMA_Site	508310077	508310077	49.4953155	10.8013519	130230
WCDMA_Site	508310080	508310080	49.0018549	12.081292	130231
WCDMA_Site	508310081	508310081	48.867791	11.4476497	130232
WCDMA_Site	508310083	508310083	49.9641485	11.625715	130233
WCDMA_Site	508310084	508310084	49.9379726	11.6193448	130234
WCDMA_Site	508310085	508310085	49.4804836	11.1739305	130235
WCDMA_Site	508310086	508310086	49.4042049	11.1332427	130236
WCDMA_Site	508310087	508310087	49.4443405	11.8456083	130237
WCDMA_Site	508310088	508310088	49.5966943	11.0033636	130238
WCDMA_Site	508310089	508310089	49.581213	10.9948741	130239
WCDMA_Site	508310090	508310090	49.5620207	11.0007962	130240
WCDMA_Site	508310091	508310091	49.5746626	11.0174086	130241
WCDMA_Site	508310093	508310093	49.5936259	10.9736769	130242
WCDMA_Site	508310094	508310094	49.5969761	11.0305172	130243
WCDMA_Site	508310095	508310095	49.5445245	11.0270006	130244
WCDMA_Site	508310097	508310097	49.8942972	10.888602	130245
WCDMA_Site	508310099	508310099	49.8886156	10.8962432	130246
WCDMA_Site	508310100	508310100	49.9124673	10.9117294	130247
WCDMA_Site	508310101	508310101	49.9114522	10.9252508	130248
WCDMA_Site	508310102	508310102	49.8810468	10.9271853	130249
WCDMA_Site	508310103	508310103	49.9306157	10.8790597	130250
WCDMA_Site	508310105	508310105	49.58909	11.012001	130251
WCDMA_Site	508310106	508310106	49.593794	11.0478008	130252
WCDMA_Site	508310108	508310108	49.4646233	11.2508628	130253
WCDMA_Site	508310110	508310110	49.4851085	10.9764162	130254
WCDMA_Site	508310111	508310111	49.4079156	11.1290213	130255
WCDMA_Site	508310113	508310113	49.3823274	11.0380561	130256
WCDMA_Site	508310114	508310114	49.3756593	11.0260605	130257
WCDMA_Site	508310115	508310115	49.3576268	11.0527146	130258
WCDMA_Site	508310116	508310116	49.360525	11.0059849	130259
WCDMA_Site	508310118	508310118	49.3143395	11.0516016	130260
WCDMA_Site	508310119	508310119	49.3392324	11.0459076	130261
WCDMA_Site	508310121	508310121	49.7141014	11.0937808	130262
WCDMA_Site	508310123	508310123	49.6334968	11.0282152	130263
WCDMA_Site	508310124	508310124	49.653455	11.0320228	130264
WCDMA_Site	508310127	508310127	49.4187424	11.2038401	130265
WCDMA_Site	508310128	508310128	49.4699109	11.1923796	130266
WCDMA_Site	508310129	508310129	49.4850097	11.2448139	130267
WCDMA_Site	508310130	508310130	49.5134765	11.3737008	130268
WCDMA_Site	508310131	508310131	49.512652	11.2783684	130269
WCDMA_Site	508310132	508310132	49.6088474	10.9290028	130270
WCDMA_Site	508310134	508310134	49.5089396	11.4186108	130271
WCDMA_Site	508310135	508310135	49.3793531	11.2091561	130272
WCDMA_Site	508310137	508310137	49.6754676	10.8670695	130273
WCDMA_Site	508310139	508310139	49.3857005	11.3553296	130274
WCDMA_Site	508310140	508310140	49.721677	10.8258479	130275
WCDMA_Site	508310145	508310145	49.5574168	11.1321315	130276
WCDMA_Site	508310146	508310146	49.2816711	10.7770855	130277
WCDMA_Site	508310147	508310147	49.2822801	11.4582478	130278
WCDMA_Site	508310148	508310148	49.2611928	11.4514421	130279
WCDMA_Site	508310155	508310155	49.4576372	10.8655342	130280
WCDMA_Site	508310156	508310156	49.3028842	10.7422337	130281
WCDMA_Site	508310158	508310158	49.4957772	10.7650065	130282
WCDMA_Site	508310159	508310159	49.5139803	10.8711441	130283
WCDMA_Site	508310164	508310164	49.2566828	10.5816569	130284
WCDMA_Site	508310165	508310165	49.6292258	10.9385152	130285
WCDMA_Site	508310170	508310170	49.2504037	11.0976183	130286
WCDMA_Site	508310171	508310171	49.2891468	10.5722481	130287
WCDMA_Site	508310177	508310177	49.2724854	11.0869149	130288
WCDMA_Site	508310178	508310178	49.3502633	11.0986845	130289
WCDMA_Site	508310179	508310179	49.3716249	11.0770245	130290
WCDMA_Site	508310180	508310180	49.3246715	10.7800231	130291
WCDMA_Site	508310181	508310181	49.3119202	11.1388521	130292
WCDMA_Site	508310182	508310182	49.3445555	10.7885992	130293
WCDMA_Site	508310183	508310183	49.4861354	10.8930354	130294
WCDMA_Site	508310184	508310184	49.5818038	10.8370765	130295
WCDMA_Site	508310186	508310186	49.6139077	10.8277941	130296
WCDMA_Site	508310188	508310188	49.5395347	11.146055	130297
WCDMA_Site	508310189	508310189	49.6809318	10.916196	130298
WCDMA_Site	508310190	508310190	49.6946144	10.9470771	130299
WCDMA_Site	508310191	508310191	49.628485	10.9040728	130300
WCDMA_Site	508310192	508310192	49.700573	10.9900696	130301
WCDMA_Site	508310194	508310194	49.7140313	10.8986814	130302
WCDMA_Site	508310196	508310196	49.7040308	10.8106843	130303
WCDMA_Site	508310197	508310197	49.5150385	11.2577903	130304
WCDMA_Site	508310198	508310198	49.5272687	11.0600761	130305
WCDMA_Site	508310199	508310199	49.506561	11.1348486	130306
WCDMA_Site	508310206	508310206	49.8881075	10.9474791	130307
WCDMA_Site	508310209	508310209	49.4884507	11.1260682	130308
WCDMA_Site	508310217	508310217	49.3133686	11.0867172	130309
WCDMA_Site	508310221	508310221	50.1039515	11.611603	130310
WCDMA_Site	508310222	508310222	49.4592981	10.8884002	130311
WCDMA_Site	508310224	508310224	49.388729	11.1107242	130312
WCDMA_Site	508310225	508310225	50.093226	11.7290877	130313
WCDMA_Site	508310226	508310226	49.5096296	10.9837845	130314
WCDMA_Site	508310229	508310229	49.3057292	11.0619567	130315
WCDMA_Site	508310234	508310234	49.8581545	10.8426301	130316
WCDMA_Site	508310235	508310235	49.473432	11.0846963	130317
WCDMA_Site	508310242	508310242	49.5047418	11.2718147	130318
WCDMA_Site	508310243	508310243	49.4831916	11.1999982	130319
WCDMA_Site	508310244	508310244	49.5828853	11.2278677	130320
WCDMA_Site	508310249	508310249	49.3529503	11.255271	130321
WCDMA_Site	508310250	508310250	49.7908888	11.0127984	130322
WCDMA_Site	508310252	508310252	49.5799545	10.9253459	130323
WCDMA_Site	508310257	508310257	49.7337519	11.0574891	130324
WCDMA_Site	508310260	508310260	49.5228046	10.8321977	130325
WCDMA_Site	508310261	508310261	49.5278431	10.9195811	130326
WCDMA_Site	508310268	508310268	50.3056047	11.8705721	130327
WCDMA_Site	508310269	508310269	50.3232893	11.9003613	130328
WCDMA_Site	508310270	508310270	50.31737	11.9148309	130329
WCDMA_Site	508310271	508310271	50.3102532	11.9020668	130330
WCDMA_Site	508310272	508310272	50.2913503	11.9336198	130331
WCDMA_Site	508310280	508310280	48.8203238	11.4311036	130332
WCDMA_Site	508310281	508310281	48.7992366	11.3688504	130333
WCDMA_Site	508310282	508310282	48.7948182	11.4375063	130334
WCDMA_Site	508310283	508310283	48.7785071	11.401839	130335
WCDMA_Site	508310284	508310284	48.7778204	11.4196049	130336
WCDMA_Site	508310285	508310285	48.7729727	11.4574151	130337
WCDMA_Site	508310286	508310286	48.7665305	11.4282995	130338
WCDMA_Site	508310287	508310287	48.7546839	11.4322437	130339
WCDMA_Site	508310288	508310288	48.7410141	11.4202838	130340
WCDMA_Site	508310289	508310289	48.7468967	11.4389936	130341
WCDMA_Site	508310290	508310290	48.7482806	11.4652264	130342
WCDMA_Site	508310292	508310292	48.714135	11.4905877	130343
WCDMA_Site	508310293	508310293	48.7616694	11.5036858	130344
WCDMA_Site	508310295	508310295	48.7275738	11.4063161	130345
WCDMA_Site	508310296	508310296	48.7079575	11.4042384	130346
WCDMA_Site	508310299	508310299	50.0189309	11.5115439	130347
WCDMA_Site	508310301	508310301	49.4654736	10.9502536	130348
WCDMA_Site	508310302	508310302	49.476054	10.9690137	130349
WCDMA_Site	508310303	508310303	49.4334453	11.0549829	130350
WCDMA_Site	508310304	508310304	49.9000388	10.8970949	130351
WCDMA_Site	508310306	508310306	49.9086	10.8704626	130352
WCDMA_Site	508310307	508310307	49.018521	12.0973772	130353
WCDMA_Site	508310308	508310308	50.0001692	12.0833135	130354
WCDMA_Site	508310309	508310309	49.0293174	12.092208	130355
WCDMA_Site	508310311	508310311	50.0053006	12.1063435	130356
WCDMA_Site	508310312	508310312	48.9780865	12.0494244	130357
WCDMA_Site	508310313	508310313	49.0084558	12.08602	130358
WCDMA_Site	508310314	508310314	49.0143759	12.107361	130359
WCDMA_Site	508310315	508310315	49.0242648	12.0651993	130360
WCDMA_Site	508310318	508310318	49.0080921	12.1713076	130361
WCDMA_Site	508310319	508310319	49.0340305	12.1341517	130362
WCDMA_Site	508310320	508310320	49.0052345	12.1191498	130363
WCDMA_Site	508310322	508310322	49.0443363	12.0885432	130364
WCDMA_Site	508310325	508310325	49.0291711	12.2026296	130365
WCDMA_Site	508310328	508310328	48.9773995	12.192995	130366
WCDMA_Site	508310333	508310333	48.9968916	12.0156238	130367
WCDMA_Site	508310337	508310337	49.7138426	11.0616117	130368
WCDMA_Site	508310340	508310340	49.9450972	11.5738734	130369
WCDMA_Site	508310343	508310343	49.6533157	12.1413685	130370
WCDMA_Site	508310345	508310345	49.7149264	11.9035369	130371
WCDMA_Site	508310346	508310346	49.6957695	12.1645708	130372
WCDMA_Site	508310347	508310347	49.68957	12.1143194	130373
WCDMA_Site	508310353	508310353	49.8817586	12.3352329	130374
WCDMA_Site	508310356	508310356	49.0849628	12.1012112	130375
WCDMA_Site	508310360	508310360	48.8704044	11.229396	130376
WCDMA_Site	508310361	508310361	49.2082504	12.0893911	130377
WCDMA_Site	508310365	508310365	49.3625359	11.1399606	130378
WCDMA_Site	508310368	508310368	49.3042071	12.0760832	130379
WCDMA_Site	508310370	508310370	49.3557133	11.2048475	130380
WCDMA_Site	508310391	508310391	50.0076986	12.0808516	130381
WCDMA_Site	508310395	508310395	48.9030357	11.1626278	130382
WCDMA_Site	508310396	508310396	49.663239	12.152136	130383
WCDMA_Site	508310398	508310398	49.4677406	11.0377639	130384
WCDMA_Site	508310403	508310403	49.5629486	11.3345845	130385
WCDMA_Site	508310404	508310404	49.3014391	10.5742207	130386
WCDMA_Site	508310407	508310407	49.7830289	11.1859484	130387
WCDMA_Site	508310412	508310412	49.388488	11.16025	130388
WCDMA_Site	508310415	508310415	49.4763475	11.1411516	130389
WCDMA_Site	508310421	508310421	48.9144929	12.6953583	130390
WCDMA_Site	508310424	508310424	48.879907	12.5743105	130391
WCDMA_Site	508310425	508310425	48.8656621	12.5634919	130392
WCDMA_Site	508310426	508310426	48.884616	12.6373433	130393
WCDMA_Site	508310427	508310427	48.8829424	12.5964163	130394
WCDMA_Site	508310430	508310430	49.3505525	11.3258443	130395
WCDMA_Site	508310433	508310433	50.1560182	12.1377208	130396
WCDMA_Site	508310442	508310442	49.306433	10.5686867	130397
WCDMA_Site	508310453	508310453	50.0354568	11.4764865	130398
WCDMA_Site	508310465	508310465	50.3147286	10.9647244	130399
WCDMA_Site	508310467	508310467	49.0570068	12.1130176	130400
WCDMA_Site	508310468	508310468	49.3260008	11.2944738	130401
WCDMA_Site	508310471	508310471	49.3033701	11.3612048	130402
WCDMA_Site	508310473	508310473	49.32656	12.1048175	130403
