; #NetworkData - datafile

;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle

WCDMA_Site	Cormoy	Cormoy	54.16745752	-7.11688382	155736
WCDMA_Site	Railway Square	Railway Square	52.25572419	-7.11068839	155737
WCDMA_Site	Rush	Rush	53.52891278	-6.10938723	155738
WCDMA_Site	Kinsaley	Kinsaley	53.41766653	-6.1851998	155739
WCDMA_Site	Lusk	Lusk	53.53510265	-6.14770095	155740
WCDMA_Site	Clonee Town	Clonee Town	53.41058223	-6.44072166	155741
WCDMA_Site	Raheny	Raheny	53.37868399	-6.17723871	155742
WCDMA_Site	Dunmanway ESB	Dunmanway ESB	51.72651441	-9.11562058	155743
WCDMA_Site	Balbriggan Town_R	Balbriggan Town_R	53.61411507	-6.18981165	155744
WCDMA_Site	Baltinglass Vodafone	Baltinglass Vodafone	52.95050837	-6.72267157	155745
WCDMA_Site	Athlone Town Centre	Athlone Town Centre	53.42365569	-7.93482942	155746
WCDMA_Site	Clontarf	Clontarf	53.3633281	-6.21913761	155747
WCDMA_Site	Ritz-Carlton Hotel	Ritz-Carlton Hotel	53.18505413	-6.17997069	155748
WCDMA_Site	Arbour Terrace	Arbour Terrace	53.34930615	-6.28903861	155749
WCDMA_Site	Portlaoise Hospital	Portlaoise Hospital	53.03836397	-7.27398956	155750
WCDMA_Site	Cafe Bar Deli	Cafe Bar Deli	53.32476875	-6.2529281	155751
WCDMA_Site	DubAirport T2	DubAirport T2	53.42563682	-6.23973599	155752
WCDMA_Site	Arklow Shopping Centre	Arklow Shopping Centre	52.79867733	-6.14768437	155753
WCDMA_Site	Boghall Road	Boghall Road	53.18739444	-6.10830833	155754
WCDMA_Site	Crumlin Bingo	Crumlin Bingo	53.3244947	-6.31573038	155755
WCDMA_Site	Dublin Airport	Dublin Airport	53.4266058	-6.24267527	155756
WCDMA_Site	Dame Court	Dame Court	53.34333125	-6.26241128	155757
WCDMA_Site	Murroe GAA	Murroe GAA	52.6512503	-8.39968846	155758
WCDMA_Site	Jamespark	Jamespark	52.66766745	-7.26400531	155759
WCDMA_Site	Moycullen (SS) (SCP)	Moycullen (SS) (SCP)	53.33825569	-9.17941257	155760
WCDMA_Site	Grange Wood	Grange Wood	53.27909162	-6.27119661	155761
WCDMA_Site	Kiltimagh (SCP)	Kiltimagh (SCP)	53.84708941	-8.99897563	155762
WCDMA_Site	Portumna Town (SCP)	Portumna Town (SCP)	53.09675026	-8.22387124	155763
WCDMA_Site	Connacht Rugby	Connacht Rugby	53.27950544	-9.03981839	155764
WCDMA_Site	The O2 Indoor	The O2 Indoor	53.34754906	-6.22713985	155765
WCDMA_Site	Arklow ESB	Arklow ESB	52.8151985	-6.14543901	155766
WCDMA_Site	Tuam Towercom	Tuam Towercom	53.51535043	-8.85311024	155767
WCDMA_Site	Clongriffin	Clongriffin	53.40315062	-6.15113788	155768
WCDMA_Site	PortmarnockPSLC	PortmarnockPSLC	53.43401263	-6.13837536	155769
WCDMA_Site	Beechwood	Beechwood	53.31483197	-6.25130796	155770
WCDMA_Site	Citywest Industrial Area	Citywest Industrial Area	53.29043978	-6.43836628	155771
WCDMA_Site	Midleton North	Midleton North	51.92313347	-8.1807124	155773
WCDMA_Site	Tralee Mart	Tralee Mart	52.27878611	-9.72693889	155774
WCDMA_Site	Carlow SE	Carlow SE	52.82951615	-6.91562603	155775
WCDMA_Site	Kilsaran Firhouse	Kilsaran Firhouse	53.28915881	-6.33121941	155776
WCDMA_Site	Bagenalstown	Bagenalstown	52.70183897	-6.9595397	155777
WCDMA_Site	Waterford Dog Track	Waterford Dog Track	52.24333694	-7.11165353	155778
WCDMA_Site	Tycor	Tycor	52.25637042	-7.12743091	155779
WCDMA_Site	The O2 Outdoor	The O2 Outdoor	53.34754906	-6.22713985	155780
WCDMA_Site	Citywest Lower	Citywest Lower	53.28907547	-6.42214291	155781
WCDMA_Site	Oranmore ESB	Oranmore ESB	53.27865585	-8.9339875	155782
WCDMA_Site	Fitzwilliam	Fitzwilliam	53.33660926	-6.24769928	155783
WCDMA_Site	Ashbourne Vodafone	Ashbourne Vodafone	53.51670918	-6.41277673	155784
WCDMA_Site	Blanch Crowne Plaza	Blanch Crowne Plaza	53.39546413	-6.3891306	155785
WCDMA_Site	Ballinamore (SS)	Ballinamore (SS)	54.04545709	-7.7993217	155786
WCDMA_Site	Killester	Killester	53.37157447	-6.20806376	155787
WCDMA_Site	Fairhill Upper	Fairhill Upper	51.9142169	-8.48996898	155788
WCDMA_Site	BurtonHall	BurtonHall	53.27220046	-6.20923969	155789
WCDMA_Site	East Wall	East Wall	53.35034209	-6.23490955	155790
WCDMA_Site	Blessington Lane	Blessington Lane	53.35610225	-6.26735981	155791
WCDMA_Site	Homemakers Cavan	Homemakers Cavan	53.9852656	-7.3238662	155792
WCDMA_Site	Ashtown Gate	Ashtown Gate	53.37299478	-6.33144501	155793
WCDMA_Site	Hayfield_Manor	Hayfield_Manor	51.89040052	-8.48928866	155794
WCDMA_Site	Blarney Street Chimney	Blarney Street Chimney	51.90183126	-8.48117406	155795
WCDMA_Site	Halfords Longford	Halfords Longford	53.74153447	-7.8024701	155796
WCDMA_Site	Briar Hill SC	Briar Hill SC	53.29023512	-8.98589206	155797
WCDMA_Site	Togher	Togher	51.87764372	-8.48549046	155799
WCDMA_Site	Cork Marina ESB	Cork Marina ESB	51.89779609	-8.44444481	155800
WCDMA_Site	Mountmellick Meteor	Mountmellick Meteor	53.12504486	-7.32827015	155801
WCDMA_Site	Annacotty Newtown	Annacotty Newtown	52.6638984	-8.53557575	155802
WCDMA_Site	Clonmel North 3G	Clonmel North 3G	52.36247692	-7.70858202	155803
WCDMA_Site	Dundalk Topaz (SS)	Dundalk Topaz (SS)	53.98799674	-6.39637023	155804
WCDMA_Site	Grove Island	Grove Island	52.66907187	-8.61579639	155805
WCDMA_Site	Newcastle Rd (SS)	Newcastle Rd (SS)	53.27646422	-9.06266884	155806
WCDMA_Site	Oskars	Oskars	52.24073958	-7.06625897	155807
WCDMA_Site	Nemo Rangers	Nemo Rangers	51.87607195	-8.4513174	155808
WCDMA_Site	Aviva Stadium Alpha	Aviva Stadium Alpha	53.33470913	-6.22797277	155809
