; #NetworkData - datafile

;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle

WCDMA_Site	1-JUL	1-JUL	3.15569	101.72	102226
WCDMA_Site	AARA	AARA	3.13508	101.61322	122099
WCDMA_Site	ABIN	ABIN	3.09214	101.70036	122103
WCDMA_Site	ACBY	ACBY	3.10841	101.58246	122109
WCDMA_Site	ACDC	ACDC	3.1297	101.58885	122110
WCDMA_Site	ACDE	ACDE	3.12979	101.584	122111
WCDMA_Site	ADHI	ADHI	3.08103	101.49094	122116
WCDMA_Site	AEON	AEON	3.03385	101.7641	122119
WCDMA_Site	AERO	AERO	3.22283	101.71356	122120
WCDMA_Site	AGNI	AGNI	3.06755	101.68718	122125
WCDMA_Site	AIA1	AIA1	3.15233	101.7	122133
WCDMA_Site	AIDA	AIDA	3.21224	101.61548	122135
WCDMA_Site	AJIN	AJIN	3.09049	101.68908	122143
WCDMA_Site	AKHO	AKHO	3.1565	101.726	122147
WCDMA_Site	AKIR	AKIR	3.183	101.62619	122149
WCDMA_Site	AKVR	AKVR	2.95608	101.585	122155
WCDMA_Site	ALAM	ALAM	3.0595	101.502	122156
WCDMA_Site	ALAR	ALAR	3.18722	101.6275	122157
WCDMA_Site	ALEK	ALEK	3.06243	101.66362	122162
WCDMA_Site	ALFA	ALFA	3.08308	101.509	122163
WCDMA_Site	ALI1	ALI1	3.08186	101.61298	122166
WCDMA_Site	ALJY	ALJY	3.06328	101.743	122171
WCDMA_Site	ALLE	ALLE	2.9413	101.8237	122172
WCDMA_Site	ALLM	ALLM	3.00389	101.55306	122173
WCDMA_Site	ALP1	ALP1	3.20285	101.73399	122177
WCDMA_Site	AMAL	AMAL	2.97998	101.75617	122181
WCDMA_Site	AMBK	AMBK	3.15029	101.70657	122183
WCDMA_Site	AMEE	AMEE	2.93675	101.79906	122185
WCDMA_Site	AMGM	AMGM	3.14869	101.69883	122188
WCDMA_Site	AMJA	AMJA	3.16114	101.75866	122189
WCDMA_Site	AMPG	AMPG	3.14006	101.77147	122191
WCDMA_Site	AMPM	AMPM	3.15042	101.76132	122192
WCDMA_Site	AMPS	AMPS	3.1582	101.75073	122194
WCDMA_Site	AMUT	AMUT	3.15708	101.75802	122195
WCDMA_Site	ANBA	ANBA	3.01778	101.70366	122196
WCDMA_Site	ANDA	ANDA	3.00447	101.449	122197
WCDMA_Site	ANGS	ANGS	3.06147	101.75011	122200
WCDMA_Site	ANJO	ANJO	3.08106	101.61951	122201
WCDMA_Site	ANJU	ANJU	3.20456	101.73878	122202
WCDMA_Site	ANK1	ANK1	3.14428	101.72222	122203
WCDMA_Site	ANKA	ANKA	3.00913	101.75436	122204
WCDMA_Site	ANNA	ANNA	3.10862	101.728	122205
WCDMA_Site	ANNE	ANNE	3.05778	101.4596	122206
WCDMA_Site	ANTA	ANTA	3.1517	101.711	122207
WCDMA_Site	ANTR	ANTR	3.17736	101.76944	122209
WCDMA_Site	ANX1	ANX1	3.06949	101.60988	122210
WCDMA_Site	APRL	APRL	3.05342	101.52825	122220
WCDMA_Site	APS1	APS1	3.15789	101.75106	122221
WCDMA_Site	APU1	APU1	3.14523	101.71195	122223
WCDMA_Site	ARAD	ARAD	3.1207	101.58053	122224
WCDMA_Site	ARAR	ARAR	3.00031	101.54944	122225
WCDMA_Site	ARH1	ARH1	3.1479	101.71353	122227
WCDMA_Site	ASC1	ASC1	3.15582	101.70979	122234
WCDMA_Site	ASEH	ASEH	3.21403	101.72158	122236
WCDMA_Site	ASHO	ASHO	3.09352	101.64576	122238
WCDMA_Site	ASLI	ASLI	3.16	101.711	122243
WCDMA_Site	AST1	AST1	3.05132	101.702	122251
WCDMA_Site	ATRI	ATRI	3.12653	101.61555	122257
WCDMA_Site	AUTO	AUTO	3.19826	101.76125	122264
WCDMA_Site	AVN1	AVN1	3.15972	101.71375	122266
WCDMA_Site	AWAC	AWAC	3.09917	101.69789	122268
WCDMA_Site	AZED	AZED	3.05925	101.52967	122276
WCDMA_Site	AZIE	AZIE	3.04335	101.64064	122277
WCDMA_Site	AZIZ	AZIZ	3.08472	101.522	122278
WCDMA_Site	BACA	BACA	3.2293	101.69029	122281
WCDMA_Site	BADE	BADE	3.09671	101.68532	122284
WCDMA_Site	BAHO	BAHO	2.92559	101.758	122287
WCDMA_Site	BAJI	BAJI	3.13313	101.6884	122290
WCDMA_Site	BALA	BALA	3.02536	101.75864	122294
WCDMA_Site	BALD	BALD	3.13127	101.75461	122295
WCDMA_Site	BALU	BALU	3.15018	101.69303	122299
WCDMA_Site	BAMO	BAMO	3.14725	101.688	122302
WCDMA_Site	BAN1	BAN1	3.148	101.69904	122303
WCDMA_Site	BANG	BANG	2.95762	101.77222	122305
WCDMA_Site	BANT	BANT	3.17925	101.76195	122308
WCDMA_Site	BARA	BARA	3.13878	101.75787	122310
WCDMA_Site	BASK	BASK	3.0263	101.71626	122314
WCDMA_Site	BASO	BASO	3.11078	101.66719	122316
WCDMA_Site	BATO	BATO	3.04297	101.7724	122319
WCDMA_Site	BAZE	BAZE	3.11817	101.59425	122329
WCDMA_Site	BAZR	BAZR	3.11783	101.59421	122330
WCDMA_Site	BB15	BB15	2.93402	101.76755	122331
WCDMA_Site	BBHO	BBHO	3.04361	101.75358	122338
WCDMA_Site	BBMW	BBMW	3.16853	101.69664	122342
WCDMA_Site	BBOT	BBOT	2.98828	101.44544	122343
WCDMA_Site	BBPC	BBPC	2.98061	101.62144	122344
WCDMA_Site	BBPR	BBPR	2.98061	101.62144	122345
WCDMA_Site	BBPU	BBPU	2.98309	101.633	122346
WCDMA_Site	BBSC	BBSC	3.14317	101.667	122348
WCDMA_Site	BBSE	BBSE	3.18172	101.69686	122349
WCDMA_Site	BCAV	BCAV	3.23006	101.67769	122354
WCDMA_Site	BDAR	BDAR	2.99578	101.46536	122357
WCDMA_Site	BEGO	BEGO	3.06005	101.67343	122366
WCDMA_Site	BELF	BELF	3.1373	101.69619	122370
WCDMA_Site	BEN1	BEN1	3.16012	101.71441	122373
WCDMA_Site	BESI	BESI	3.07655	101.70403	122382
WCDMA_Site	BETO	BETO	3.06442	101.71064	122384
WCDMA_Site	BGER	BGER	2.96586	101.746	122388
WCDMA_Site	BIJI	BIJI	3.1615	101.88789	122400
WCDMA_Site	BIRD	BIRD	3.20037	101.63158	122405
WCDMA_Site	BKAB	BKAB	3.18353	101.76752	122412
WCDMA_Site	BKI6	BKI6	3.0345	101.669	122417
WCDMA_Site	BKIN	BKIN	3.04681	101.64503	122419
WCDMA_Site	BKKM	BKKM	3.02309	101.53317	122420
WCDMA_Site	BKRJ	BKRJ	3.07256	101.4795	122427
WCDMA_Site	BKTD	BKTD	3.2554	101.544	122429
WCDMA_Site	BKUN	BKUN	3.28428	101.51486	122433
WCDMA_Site	BLEK	BLEK	3.21639	101.73086	122437
WCDMA_Site	BLIM	BLIM	3.03903	101.73225	122438
WCDMA_Site	BLVD	BLVD	2.92608	101.68917	122442
WCDMA_Site	BMAN	BMAN	3.17325	101.46511	122444
WCDMA_Site	BMAU	BMAU	2.977	101.534	122446
WCDMA_Site	BMUD	BMUD	3.22508	101.68578	122453
WCDMA_Site	BNDR	BNDR	2.93227	101.67505	122457
WCDMA_Site	BOAT	BOAT	3.01992	101.58842	122460
WCDMA_Site	BOBO	BOBO	3.14536	101.7107	122461
WCDMA_Site	BOCH	BOCH	3.12217	101.7286	122462
WCDMA_Site	BOES	BOES	3.15045	101.70831	122464
WCDMA_Site	BOLO	BOLO	3.05486	101.75853	122466
WCDMA_Site	BOLT	BOLT	3.24959	101.69569	122467
WCDMA_Site	BOMR	BOMR	3.20596	101.637	122468
WCDMA_Site	BONI	BONI	2.99331	101.43387	122469
WCDMA_Site	BOOT	BOOT	3.02678	101.7436	122473
WCDMA_Site	BOOZ	BOOZ	2.97901	101.77998	122474
WCDMA_Site	BORG	BORG	3.01582	101.486	122475
WCDMA_Site	BOTN	BOTN	2.99056	101.44622	122477
WCDMA_Site	BP11	BP11	3.26002	101.70065	122479
WCDMA_Site	BPIN	BPIN	3.23878	101.65062	122483
WCDMA_Site	BPOK	BPOK	2.99039	101.46674	122488
WCDMA_Site	BPTU	BPTU	2.96894	101.627	122490
WCDMA_Site	BRAZ	BRAZ	3.14346	101.77598	122495
WCDMA_Site	BREK	BREK	3.16328	101.65498	122498
WCDMA_Site	BREM	BREM	3.20445	101.6676	122499
WCDMA_Site	BRPT	BRPT	3.21361	101.55667	122505
WCDMA_Site	BSAR	BSAR	3.14985	101.65279	122510
WCDMA_Site	BSCR	BSCR	3.14318	101.66735	122512
WCDMA_Site	BSTA	BSTA	3.01956	101.57386	122515
WCDMA_Site	BTBR	BTBR	3.13714	101.67289	122521
WCDMA_Site	BTHO	BTHO	3.03633	101.75848	122529
WCDMA_Site	BTIG	BTIG	3.07695	101.55898	122530
WCDMA_Site	BTNL	BTNL	3.01189	101.43153	122538
WCDMA_Site	BTP1	BTP1	3.16252	101.67449	122541
WCDMA_Site	BUAS	BUAS	3.15819	101.66197	122549
WCDMA_Site	BUCH	BUCH	3.28467	101.55006	122553
WCDMA_Site	BUCK	BUCK	3.138	101.6693	122554
WCDMA_Site	BUDM	BUDM	3.15111	101.4603	122556
WCDMA_Site	BUFF	BUFF	3.14722	101.61136	122557
WCDMA_Site	BUKP	BUKP	3.13936	101.72061	122561
WCDMA_Site	BUKU	BUKU	3.05774	101.63836	122562
WCDMA_Site	BULL	BULL	3.12551	101.60896	122563
WCDMA_Site	BULO	BULO	3.19423	101.55919	122564
WCDMA_Site	BUMP	BUMP	3.13842	101.77741	122566
WCDMA_Site	BUMR	BUMR	3.13484	101.778	122567
WCDMA_Site	BUYS	BUYS	3.15643	101.59734	122572
WCDMA_Site	BWMS	BWMS	3.17391	101.73738	122574
WCDMA_Site	BZKT	BZKT	2.94883	101.43481	122577
WCDMA_Site	CAF2	CAF2	3.08256	101.58804	122578
WCDMA_Site	CALT	CALT	3.07629	101.60294	122582
WCDMA_Site	CAMP	CAMP	3.15693	101.69653	122583
WCDMA_Site	CAP1	CAP1	3.14502	101.70985	122585
WCDMA_Site	CAR2	CAR2	3.19673	101.74371	122587
WCDMA_Site	CARF	CARF	3.214	101.6438	122589
WCDMA_Site	CARL	CARL	2.97219	101.82841	122591
WCDMA_Site	CARN	CARN	3.12168	101.57244	122592
WCDMA_Site	CASH	CASH	3.19939	101.70295	122593
WCDMA_Site	CASQ	CASQ	3.15532	101.69929	122595
WCDMA_Site	CAST	CAST	3.11925	101.64269	122596
WCDMA_Site	CAVE	CAVE	3.23408	101.68226	122598
WCDMA_Site	CAVY	CAVY	3.23697	101.69578	122599
WCDMA_Site	CAYA	CAYA	3.14517	101.75956	122600
WCDMA_Site	CCHS	CCHS	3.2193	101.56319	122602
WCDMA_Site	CENT	CENT	3.12264	101.75089	122611
WCDMA_Site	CER1	CER1	3.11139	101.45289	122613
WCDMA_Site	CETO	CETO	3.05306	101.46362	122615
WCDMA_Site	CGFA	CGFA	3.27892	101.50508	122618
WCDMA_Site	CHAI	CHAI	3.05348	101.65096	122619
WCDMA_Site	CHBR	CHBR	3.10639	101.74556	122623
WCDMA_Site	CHER	CHER	3.12619	101.726	122629
WCDMA_Site	CHIC	CHIC	3.10721	101.65324	122632
WCDMA_Site	CHN1	CHN1	3.15887	101.708	122639
WCDMA_Site	CHRY	CHRY	3.12798	101.60236	122643
