; #NetworkData - datafile

;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle

GSM_Site	1-Jul_GSM	1-Jul_GSM	3.15569	101.72	90795
GSM_Site	1-Mar_GSM	1-Mar_GSM	3.14538	101.69823	90796
GSM_Site	1-Nov_GSM	1-Nov_GSM	3.15135	101.71266	90797
GSM_Site	AANG_GSM	AANG_GSM	5.41542	100.51278	90801
GSM_Site	AAPI_GSM	AAPI_GSM	3.27974	101.29684	90805
GSM_Site	AAPP_GSM	AAPP_GSM	3.2997	101.28452	90809
GSM_Site	AARA_GSM	AARA_GSM	3.13508	101.61322	90813
GSM_Site	ABAK_GSM	ABAK_GSM	3.99139	101.062	90817
GSM_Site	ABAN_GSM	ABAN_GSM	4.86283	103.39114	90821
GSM_Site	ABAT_GSM	ABAT_GSM	2.17094	103.86606	90825
GSM_Site	ABBA_GSM	ABBA_GSM	1.45767	103.74969	90829
GSM_Site	ABBU_GSM	ABBU_GSM	3.24267	113.22072	90833
GSM_Site	ABBY_GSM	ABBY_GSM	2.40244	102.49333	90836
GSM_Site	ABD1_GSM	ABD1_GSM	2.19781	102.25527	90839
GSM_Site	ABDU_GSM	ABDU_GSM	2.19481	102.2533	90846
GSM_Site	ABEX_GSM	ABEX_GSM	3.08331	112.98675	90850
GSM_Site	ABIN_GSM	ABIN_GSM	3.09214	101.70036	90854
GSM_Site	ABOL_GSM	ABOL_GSM	4.25364	118.63112	90860
GSM_Site	ABON_GSM	ABON_GSM	2.06163	102.60084	90867
GSM_Site	ABUL_GSM	ABUL_GSM	1.86156	103.10256	90871
GSM_Site	ABUN_GSM	ABUN_GSM	4.61025	101.14	90875
GSM_Site	ACBE_GSM	ACBE_GSM	2.80889	102.39308	90879
GSM_Site	ACCT_GSM	ACCT_GSM	5.42198	100.32776	90883
GSM_Site	ACDC_GSM	ACDC_GSM	3.1297	101.58885	90886
GSM_Site	ACDE_GSM	ACDE_GSM	3.12979	101.584	90890
GSM_Site	ACED_GSM	ACED_GSM	5.12406	100.47711	90894
GSM_Site	ACIM_GSM	ACIM_GSM	5.36689	115.62019	90898
GSM_Site	ACM1_GSM	ACM1_GSM	5.35861	100.40411	90902
