; #NetworkData - datafile

;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle


;ElementTypeName	GSM_SiteIDForCell	Sector_ID	Azimuth	Beamwidth	State	MSA	EIRP	BCCH	BSIC	MCC	MNC	LAC	CI	Height	Tilt	Antenna_key	AntennaName	TCHList	GSMNeighborList	WCDMANeighborList	Max_ServerDist	TMA_Name	BSC_RNC_NODE	Control_Channel	CID_DEC	CID_HEX	Cell_Status	Technology	ElementHandle


;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle

WCDMA_Site	2401BR_Brasov	2401BR_Brasov	45.65347778	25.61543611	89949
WCDMA_Site	2406BR_Roman SA	2406BR_Roman SA	45.62575	25.63731111	89960
WCDMA_Site	2407BR_Cartier Tractorul - BV	2407BR_Cartier Tractorul - BV	45.66613611	25.60903889	89967
WCDMA_Site	2408SA_Sacele	2408SA_Sacele	45.60803333	25.66763333	89974
WCDMA_Site	2415BR_MSC Brasov	2415BR_MSC Brasov	45.69681667	25.58145833	89981
WCDMA_Site	2416BR_Brasov - Triaj	2416BR_Brasov - Triaj	45.6759	25.64707222	89988
WCDMA_Site	400BRA_Hotel Aro Palace	400BRA_Hotel Aro Palace	45.64500833	25.59046667	90141
WCDMA_Site	401BRA_Brasov - Solomon	401BRA_Brasov - Solomon	45.65941944	25.60661389	90148
WCDMA_Site	402BRA_Brasov - Berzei	402BRA_Brasov - Berzei	45.64001389	25.62729167	90155
WCDMA_Site	403BRA_Brasov-5	403BRA_Brasov-5	45.66365	25.5695	90162
WCDMA_Site	404BRA_Brasov-6	404BRA_Brasov-6	45.65039167	25.604425	90169
WCDMA_Site	408POI_Poiana Brasov	408POI_Poiana Brasov	45.59683056	25.55041389	90183
WCDMA_Site	409BRA_Brasov-8	409BRA_Brasov-8	45.63509722	25.60781944	90190
WCDMA_Site	4213BR_Brasov Zizin	4213BR_Brasov Zizin	45.64928889	25.64899722	90244
WCDMA_Site	4216BR_Brasov Stupini	4216BR_Brasov Stupini	45.69890833	25.558825	90251
WCDMA_Site	422BRA_Brasov-9	422BRA_Brasov-9	45.64902222	25.62812222	90258
WCDMA_Site	423BRA_Brasov 10	423BRA_Brasov 10	45.63757778	25.58491944	90265
WCDMA_Site	424BRA_Brasov	424BRA_Brasov	45.65675556	25.58671944	90272
WCDMA_Site	4401BR_Craiter - Brasov	4401BR_Craiter - Brasov	45.66106389	25.6272	90295
WCDMA_Site	4408BR_Brasov Pasaj	4408BR_Brasov Pasaj	45.66323889	25.59355278	90302
WCDMA_Site	4409BR_Brasov Grivitei	4409BR_Brasov Grivitei	45.65534722	25.60028333	90309
WCDMA_Site	4410BR_Brasov Racadau	4410BR_Brasov Racadau	45.64186944	25.616275	90320
WCDMA_Site	4413GV_Ghimbav	4413GV_Ghimbav	45.66475	25.50591667	90328
WCDMA_Site	4428BR_Brasov Noua	4428BR_Brasov Noua	45.61661944	25.63936667	90357
WCDMA_Site	4429BR_Brasov Saturn	4429BR_Brasov Saturn	45.64136667	25.63656111	90364
WCDMA_Site	4855BR_Brasov Stadion	4855BR_Brasov Stadion	45.66338333	25.58206111	90461
WCDMA_Site	4856BR_Carrefour Brasov	4856BR_Carrefour Brasov	45.63241667	25.64119167	90464
WCDMA_Site	4862BR_Brasov - Star	4862BR_Brasov - Star	45.64341389	25.59765556	90471
WCDMA_Site	4863BR_Brasov  - Centrul Civic	4863BR_Brasov  - Centrul Civic	45.65075278	25.61696667	90478
WCDMA_Site	4864BR_Brasov - Harmanului	4864BR_Brasov - Harmanului	45.65840556	25.62080833	90485
WCDMA_Site	4866BR_Brasov - Roman2	4866BR_Brasov - Roman2	45.62843611	25.62421389	90492
WCDMA_Site	4867BR_Brasov - Tractorul2	4867BR_Brasov - Tractorul2	45.67456111	25.61411944	90499
WCDMA_Site	4868IN_Ina	4868IN_Ina	45.641075	25.50894167	90503
WCDMA_Site	4869BR_Brasov Brintex	4869BR_Brasov Brintex	45.65536944	25.56013611	90510
WCDMA_Site	4992SA_Sacele 3	4992SA_Sacele 3	45.619875	25.69550833	90518
WCDMA_Site	4998BR_Brasov Schei	4998BR_Brasov Schei	45.63760833	25.57585833	90529
WCDMA_Site	5451BR_Brasov Centrul Vechi	5451BR_Brasov Centrul Vechi	45.64216389	25.59041111	90603
WCDMA_Site	5452BR_Magazin Real Brasov	5452BR_Magazin Real Brasov	45.65730556	25.56330556	90605

;ElementTypeName	WCDMA_SiteIDForCell	Sector_ID	Azimuth	Beamwidth	State	MSA	EIRP	SC	MCC	MNC	LAC	WCDMA_CI	RNCID	WCDMANeighborList	GSMNeighborList	UARFCN	Max_ServerDist	Height	Tilt	Antenna_key	AntennaName	BSC_RNC_NODE	Cell_Status	Technology	PrimaryCPICHPower	TX_ID	TMA_Name	MaximumTransmissionPower	Power_Max_Atoll	Pilot_Power_Atoll	PrimarySCHPower	SCH_Power_Atoll	Total_Power	LayerSize	LayerType	ElementHandle

WCDMA_Cell	2401BR_Brasov	2401BRJ	65	65				73				24017	3117			10811		30																		89943
WCDMA_Cell	2401BR_Brasov	2401BRK	220	65				81				24018	3117			10811		30																		89944
WCDMA_Cell	2401BR_Brasov	2401BRL	340	65				89				24019	3117			10811		30																		89945
WCDMA_Cell	2401BR_Brasov	2401BRX	65	65				72				24011	3117			10836		30																		89946
WCDMA_Cell	2401BR_Brasov	2401BRY	220	65				80				24012	3117			10836		30																		89947
WCDMA_Cell	2401BR_Brasov	2401BRZ	340	65				88				24013	3117			10836		30																		89948
WCDMA_Cell	2406BR_Roman SA	2406BRJ	330	65				409				24067	3117			10811		45																		89954
WCDMA_Cell	2406BR_Roman SA	2406BRK	95	65				417				24068	3117			10811		45																		89955
WCDMA_Cell	2406BR_Roman SA	2406BRL	230	65				425				24069	3117			10811		45																		89956
WCDMA_Cell	2406BR_Roman SA	2406BRX	330	65				408				24061	3117			10836		45																		89957
WCDMA_Cell	2406BR_Roman SA	2406BRY	95	65				416				24062	3117			10836		45																		89958
WCDMA_Cell	2406BR_Roman SA	2406BRZ	230	65				424				24063	3117			10836		45																		89959
WCDMA_Cell	2407BR_Cartier Tractorul - BV	2407BRJ	35	65				241				24077	3117			10811		35																		89961
WCDMA_Cell	2407BR_Cartier Tractorul - BV	2407BRK	150	65				249				24078	3117			10811		35																		89962
WCDMA_Cell	2407BR_Cartier Tractorul - BV	2407BRL	300	65				257				24079	3117			10811		35																		89963
WCDMA_Cell	2407BR_Cartier Tractorul - BV	2407BRX	35	65				240				24071	3117			10836		35																		89964
WCDMA_Cell	2407BR_Cartier Tractorul - BV	2407BRY	150	65				248				24072	3117			10836		35																		89965
WCDMA_Cell	2407BR_Cartier Tractorul - BV	2407BRZ	300	65				256				24073	3117			10836		35																		89966
WCDMA_Cell	2408SA_Sacele	2408SAJ	60	65				501				24087	3117			10811		26																		89968
WCDMA_Cell	2408SA_Sacele	2408SAK	250	65				505				24088	3117			10811		26																		89969
WCDMA_Cell	2408SA_Sacele	2408SAL	325	65				509				24089	3117			10811		26																		89970
WCDMA_Cell	2408SA_Sacele	2408SAX	60	65				500				24081	3117			10836		26																		89971
WCDMA_Cell	2408SA_Sacele	2408SAY	250	65				504				24082	3117			10836		26																		89972
WCDMA_Cell	2408SA_Sacele	2408SAZ	325	65				508				24083	3117			10836		26																		89973
WCDMA_Cell	2415BR_MSC Brasov	2415BRJ	10	65				289				24157	3117			10811		23																		89975
WCDMA_Cell	2415BR_MSC Brasov	2415BRK	150	65				297				24158	3117			10811		23																		89976
WCDMA_Cell	2415BR_MSC Brasov	2415BRL	100	65				305				24159	3117			10811		15																		89977
WCDMA_Cell	2415BR_MSC Brasov	2415BRX	10	65				288				24151	3117			10836		23																		89978
WCDMA_Cell	2415BR_MSC Brasov	2415BRY	150	65				296				24152	3117			10836		23																		89979
WCDMA_Cell	2415BR_MSC Brasov	2415BRZ	100	65				304				24153	3117			10836		15																		89980
WCDMA_Cell	2416BR_Brasov - Triaj	2416BRJ	40	65				265				24167	3117			10811		31																		89982
WCDMA_Cell	2416BR_Brasov - Triaj	2416BRK	180	65				273				24168	3117			10811		31																		89983
WCDMA_Cell	2416BR_Brasov - Triaj	2416BRL	280	65				281				24169	3117			10811		31																		89984
WCDMA_Cell	2416BR_Brasov - Triaj	2416BRX	40	65				264				24161	3117			10836		31																		89985
WCDMA_Cell	2416BR_Brasov - Triaj	2416BRY	180	65				272				24162	3117			10836		31																		89986
WCDMA_Cell	2416BR_Brasov - Triaj	2416BRZ	280	65				280				24163	3117			10836		31																		89987
WCDMA_Cell	400BRA_Hotel Aro Palace	400BRAJ	60	65				25				14007	3117			10811		31																		90135
WCDMA_Cell	400BRA_Hotel Aro Palace	400BRAK	200	65				33				14008	3117			10811		31																		90136
WCDMA_Cell	400BRA_Hotel Aro Palace	400BRAL	325	65				41				14009	3117			10811		31																		90137
WCDMA_Cell	400BRA_Hotel Aro Palace	400BRAX	60	65				24				14001	3117			10836		31																		90138
WCDMA_Cell	400BRA_Hotel Aro Palace	400BRAY	200	65				32				14002	3117			10836		31																		90139
WCDMA_Cell	400BRA_Hotel Aro Palace	400BRAZ	325	65				40				14003	3117			10836		31																		90140
WCDMA_Cell	401BRA_Brasov - Solomon	401BRAJ	100	65				145				14017	3117			10811		35																		90142
WCDMA_Cell	401BRA_Brasov - Solomon	401BRAK	180	65				153				14018	3117			10811		35																		90143
WCDMA_Cell	401BRA_Brasov - Solomon	401BRAL	315	65				161				14019	3117			10811		35																		90144
WCDMA_Cell	401BRA_Brasov - Solomon	401BRAX	100	65				144				14011	3117			10836		35																		90145
WCDMA_Cell	401BRA_Brasov - Solomon	401BRAY	180	65				152				14012	3117			10836		35																		90146
WCDMA_Cell	401BRA_Brasov - Solomon	401BRAZ	315	65				160				14013	3117			10836		35																		90147
