; #NetworkData - datafile

;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle


;ElementTypeName	CDMA_SiteIDForCell	Sector_ID	Azimuth	Beamwidth	EIRP	PN	MCC	SID	NID	BID	PctPilot	PctTraffic	PctPaging	PctSync	SRCH_WIN_A	SRCH_WIN_N	CDMANeighborList	Face_Display	Azimuth_Display	Phase_Display	LayerType	Height	Tilt	Antenna_key	CDMA_Freq	Channel	ElementHandle


;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle


;ElementTypeName	CDMA1xEVDO_SiteIDForCell	Sector_ID	Azimuth	Beamwidth	EIRP	PN	MCC	SID	NID	BID	SRCH_WIN_A	SRCH_WIN_N	CDMANeighborList	Face_Display	Azimuth_Display	Phase_Display	SubnetMask	Color_Code	LayerType	Height	Tilt	Antenna_key	CDMA_Freq	Channel	ElementHandle


;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle

WCDMA_Site	10009C_WCDMA	10009C_WCDMA	51.4115	-.417556	10
WCDMA_Site	10038C_WCDMA	10038C_WCDMA	51.5125	-.0432519	13
WCDMA_Site	10039C_WCDMA	10039C_WCDMA	51.5305	.0383751	14
WCDMA_Site	1003A_WCDMA	1003A_WCDMA	51.4953	.00706623	15
WCDMA_Site	10045B_WCDMA	10045B_WCDMA	51.3943	-.510864	16
WCDMA_Site	10048D_WCDMA	10048D_WCDMA	51.363	-.464678	17
WCDMA_Site	10049F_WCDMA	10049F_WCDMA	51.3317	-.454958	18
WCDMA_Site	10050D_WCDMA	10050D_WCDMA	51.3883	-.271137	19
WCDMA_Site	10051G_WCDMA	10051G_WCDMA	51.3797	-.183415	20
WCDMA_Site	10053G_WCDMA	10053G_WCDMA	51.3447	-.163836	21
WCDMA_Site	10063B_WCDMA	10063B_WCDMA	51.4535	.166112	22
WCDMA_Site	10071B_WCDMA	10071B_WCDMA	51.281	-.217424	23
WCDMA_Site	10074B_WCDMA	10074B_WCDMA	51.316	-.23098	24
WCDMA_Site	10081C_WCDMA	10081C_WCDMA	51.4337	.0213738	25
WCDMA_Site	10083A_WCDMA	10083A_WCDMA	51.5572	-.316197	26
WCDMA_Site	10086B_WCDMA	10086B_WCDMA	51.5449	-.404136	27
WCDMA_Site	10088G_WCDMA	10088G_WCDMA	51.5813	-.348445	28
WCDMA_Site	10089C_WCDMA	10089C_WCDMA	51.525351	-.331025	29
WCDMA_Site	10090C_WCDMA	10090C_WCDMA	51.5874	-.301453	31
WCDMA_Site	10091A_WCDMA	10091A_WCDMA	51.5194	-.255627	32
WCDMA_Site	10092E_WCDMA	10092E_WCDMA	51.5755	-.370002	33
WCDMA_Site	10093A_WCDMA	10093A_WCDMA	51.5065	-.303369	34
WCDMA_Site	10104C_WCDMA	10104C_WCDMA	51.424	.242395	35
WCDMA_Site	10125A_WCDMA	10125A_WCDMA	51.4195	-.196839	36
WCDMA_Site	10144F_WCDMA	10144F_WCDMA	51.5499	-.0601571	39
WCDMA_Site	10145I_WCDMA	10145I_WCDMA	51.5359	-.104674	40
WCDMA_Site	10148A_WCDMA	10148A_WCDMA	51.5813	-.210317	41
