; #NetworkData - datafile

;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle

LTE_Site	CCL00001	CCL00001	37.78687778	-122.454875	336389
LTE_Site	CCL00004	CCL00004	37.69489722	-121.9684861	336391
LTE_Site	CCL00005	CCL00005	37.72980556	-122.4738222	336392
LTE_Site	CCL00006	CCL00006	37.75521111	-122.4183444	336393
LTE_Site	CCL00007	CCL00007	37.59560556	-122.3836944	336394
LTE_Site	CCL00008	CCL00008	37.64341389	-122.4044056	336395
LTE_Site	CCL00009	CCL00009	37.95331944	-122.336425	336396
LTE_Site	CCL00010	CCL00010	37.85863333	-122.2908278	336397
LTE_Site	CCL00011	CCL00011	37.78467222	-122.2409	336398
LTE_Site	CCL00013	CCL00013	37.54747222	-122.3078389	336399
LTE_Site	CCL00014	CCL00014	37.45687778	-122.2716194	336400
LTE_Site	CCL00015	CCL00015	37.463525	-122.197975	336401
LTE_Site	CCL00019	CCL00019	37.52474167	-122.0209639	336404
LTE_Site	CCL00020	CCL00020	37.65350278	-122.1352639	336405
LTE_Site	CCL00029	CCL00029	37.90051944	-122.0864889	336406
LTE_Site	CCL00030	CCL00030	37.78051667	-121.970975	336407
LTE_Site	CCL00037	CCL00037	37.80338056	-121.9572472	336409
LTE_Site	CCL00040	CCL00040	38.02864444	-122.1980139	336410
LTE_Site	CCL00041	CCL00041	37.88235556	-122.2208472	336411
LTE_Site	CCL00045	CCL00045	37.78180278	-122.176825	336413
LTE_Site	CCL00049	CCL00049	37.80086111	-122.4250222	336415
LTE_Site	CCL00051	CCL00051	37.86139722	-122.2084778	336416
LTE_Site	CCL00053	CCL00053	37.49688611	-122.244875	336417
LTE_Site	CCL00054	CCL00054	37.68868611	-122.1198694	336418
LTE_Site	CCL00055	CCL00055	37.85221667	-122.22375	336419
LTE_Site	CCL00056	CCL00056	37.50505556	-121.9405583	336420
LTE_Site	CCL00057	CCL00057	37.71895278	-122.4252889	336421
LTE_Site	CCL00058	CCL00058	37.71466667	-122.3985139	336422
LTE_Site	CCL00059	CCL00059	37.74758889	-122.4810111	336423
LTE_Site	CCL00060	CCL00060	37.82906944	-122.2908639	336424
LTE_Site	CCL00061	CCL00061	37.969775	-122.2698083	336425
LTE_Site	CCL00069	CCL00069	37.78962778	-121.9051306	336428
LTE_Site	CCL00071	CCL00071	37.68095556	-122.4738306	336429
LTE_Site	CCL00072	CCL00072	37.59041667	-122.3396111	336430
LTE_Site	CCL00074	CCL00074	37.59384167	-121.8767278	336432
LTE_Site	CCL00075	CCL00075	37.99041111	-122.0884889	336433
LTE_Site	CCL00077	CCL00077	37.78500278	-122.4328	336434
LTE_Site	CCL00078	CCL00078	37.78716111	-122.4207389	336435
LTE_Site	CCL00080	CCL00080	37.83595	-122.1177472	336436
LTE_Site	CCL00083	CCL00083	37.611325	-122.0737611	336437
LTE_Site	CCL00085	CCL00085	37.92182222	-122.3591556	336438
LTE_Site	CCL00092	CCL00092	37.82894444	-122.2105417	336440
LTE_Site	CCL00093	CCL00093	38.00426667	-122.2192111	336441
LTE_Site	CCL00096	CCL00096	37.78196944	-122.4149639	336443
LTE_Site	CCL00097	CCL00097	37.54836111	-121.9177083	336444
LTE_Site	CCL00098	CCL00098	37.82166944	-122.3234667	336445
LTE_Site	CCL00099	CCL00099	37.72587778	-122.4011917	336446
LTE_Site	CCL00100	CCL00100	37.78024167	-122.405875	336447
LTE_Site	CCL00101	CCL00101	38.04505833	-122.2323556	336448
LTE_Site	CCL00106	CCL00106	37.73083889	-121.9493722	336449
LTE_Site	CCL00107	CCL00107	37.54460278	-122.057325	336450
LTE_Site	CCL00109	CCL00109	37.49376111	-122.1383111	336452
LTE_Site	CCL00110	CCL00110	37.81621389	-122.2527556	336453
LTE_Site	CCL00111	CCL00111	37.52490833	-122.2585444	336454
LTE_Site	CCL00116	CCL00116	37.75633611	-122.388675	336456
LTE_Site	CCL00117	CCL00117	37.83988611	-122.0131694	336457
LTE_Site	CCL00118	CCL00118	37.79012778	-122.4101139	336458
LTE_Site	CCL00119	CCL00119	37.86156944	-122.48965	336459
LTE_Site	CCL00122	CCL00122	37.84157778	-122.2967778	336461
LTE_Site	CCL00124	CCL00124	37.48512222	-122.1854389	336463
LTE_Site	CCL00125	CCL00125	37.79865556	-122.2833361	336464
LTE_Site	CCL00127	CCL00127	37.73046111	-122.4289306	336465
LTE_Site	CCL00128	CCL00128	37.79634444	-122.1828833	336466
LTE_Site	CCL00129	CCL00129	37.70675556	-122.0745972	336467
LTE_Site	CCL00132	CCL00132	37.88789444	-122.1591889	336468
LTE_Site	CCL00133	CCL00133	37.45253611	-122.1262389	336469
LTE_Site	CCL00135	CCL00135	37.62815833	-122.4252056	336471
LTE_Site	CCL00139	CCL00139	37.74023611	-122.3933889	336472
LTE_Site	CCL00141	CCL00141	37.92642778	-122.0191611	336473
LTE_Site	CCL00143	CCL00143	37.659487	-122.095437	336474
LTE_Site	CCL00146	CCL00146	37.87737222	-122.0421222	336475
LTE_Site	CCL00147	CCL00147	37.70405	-122.1610306	336476
LTE_Site	CCL00150	CCL00150	37.96148611	-122.0214694	336478
LTE_Site	CCL00151	CCL00151	37.67435	-122.3879528	336479
LTE_Site	CCL00160	CCL00160	37.49264722	-122.29765	336482
LTE_Site	CCL00162	CCL00162	37.66615556	-122.4251306	336483
LTE_Site	CCL00163	CCL00163	37.79161389	-122.3994333	336484
LTE_Site	CCL00164	CCL00164	37.99659722	-122.2911167	336485
LTE_Site	CCL00167	CCL00167	37.90167778	-122.3143694	336486
LTE_Site	CCL00168	CCL00168	37.83945278	-122.2637278	336487
LTE_Site	CCL00171	CCL00171	37.77498333	-122.4198583	336488
LTE_Site	CCL00173	CCL00173	37.69861111	-121.8776806	336489
LTE_Site	CCL00174	CCL00174	37.97570556	-122.0325778	336490
LTE_Site	CCL00175	CCL00175	37.84659722	-122.252375	336491
LTE_Site	CCL00177	CCL00177	37.66067778	-121.8835889	336493
LTE_Site	CCL00181	CCL00181	37.72785278	-122.50345	336495
LTE_Site	CCL00182	CCL00182	37.47991389	-122.2194361	336496
LTE_Site	CCL00185	CCL00185	37.56080278	-122.0086056	336497
LTE_Site	CCL00186	CCL00186	37.66844167	-122.4664389	336498
LTE_Site	CCL00189	CCL00189	37.76501667	-122.0270833	336499
LTE_Site	CCL00199	CCL00199	37.80549167	-122.4054917	336501
LTE_Site	CCL00401	CCL00401	37.81561667	-121.9226694	336502
LTE_Site	CCL00402	CCL00402	37.69758611	-122.0887389	336503
LTE_Site	CCL00403	CCL00403	37.66576389	-121.9227333	336504
LTE_Site	CCL00404	CCL00404	37.45984722	-121.9218944	336505
LTE_Site	CCL00406	CCL00406	37.72610833	-122.2299944	336506
LTE_Site	CCL00407	CCL00407	37.899	-122.0480528	336507
LTE_Site	CCL00412	CCL00412	37.64456667	-122.0650806	336510
LTE_Site	CCL00414	CCL00414	37.57626111	-122.0467417	336511
LTE_Site	CCL00415	CCL00415	37.97732778	-122.3229222	336512
LTE_Site	CCL00417	CCL00417	37.51300278	-122.3405167	336514
LTE_Site	CCL00418	CCL00418	37.787775	-122.4064278	336515
LTE_Site	CCL00420	CCL00420	37.62621111	-122.1306722	336516
LTE_Site	CCL00429	CCL00429	37.700175	-122.0261361	336519
LTE_Site	CCL00433	CCL00433	37.99120556	-122.1215083	336521
LTE_Site	CCL00434	CCL00434	37.93103056	-122.3255167	336522
LTE_Site	CCL00442	CCL00442	37.83068889	-121.9591611	336524
LTE_Site	CCL00445	CCL00445	37.51175278	-121.9754	336525
LTE_Site	CCL00446	CCL00446	37.76040833	-122.221025	336526
LTE_Site	CCL00447	CCL00447	37.75093889	-122.4026556	336527
LTE_Site	CCL00449	CCL00449	37.77666111	-122.2918028	336528
LTE_Site	CCL00452	CCL00452	37.77411667	-122.4413056	336531
LTE_Site	CCL00453	CCL00453	37.63892222	-122.465075	336532
LTE_Site	CCL00456	CCL00456	37.593125	-122.0349556	336535
LTE_Site	CCL00457	CCL00457	37.56575278	-122.3243694	336536
LTE_Site	CCL00458	CCL00458	37.85818056	-122.2587917	336537
LTE_Site	CCL00461	CCL00461	37.77974722	-122.4862583	336538
LTE_Site	CCL00464	CCL00464	37.78900833	-122.3886667	336540
LTE_Site	CCL00465	CCL00465	37.81245278	-122.2740722	336541
LTE_Site	CCL00466	CCL00466	37.73748889	-122.1964028	336542
LTE_Site	CCL00467	CCL00467	37.456475	-122.1667278	336543
LTE_Site	CCL00468	CCL00468	37.54736944	-121.9735639	336544
LTE_Site	CCL00470	CCL00470	37.54525	-122.2333694	336545
LTE_Site	CCL00471	CCL00471	37.59020833	-122.4124583	336546
LTE_Site	CCL00474	CCL00474	37.85189167	-122.4899444	336548
LTE_Site	CCL00476	CCL00476	37.80951111	-121.9926139	336549
LTE_Site	CCL00477	CCL00477	37.76238611	-122.4658472	336550
LTE_Site	CCL00478	CCL00478	37.93276667	-122.4027694	336551
LTE_Site	CCL00480	CCL00480	37.57391389	-122.3987139	336552
LTE_Site	CCL00488	CCL00488	37.79218889	-122.2585556	336554
LTE_Site	CCL00490	CCL00490	38.01914167	-122.1351667	336555
LTE_Site	CCL00491	CCL00491	37.75775833	-122.1456861	336556
LTE_Site	CCL00494	CCL00494	37.63236944	-122.0954472	336558
LTE_Site	CCL00495	CCL00495	37.75863056	-122.186625	336559
LTE_Site	CCL00496	CCL00496	37.82537778	-122.2670389	336560
LTE_Site	CCL00497	CCL00497	37.77232778	-122.402525	336561
LTE_Site	CCL00498	CCL00498	37.67876111	-122.0826278	336562
LTE_Site	CCL00500	CCL00500	37.92610278	-122.0619861	336563
LTE_Site	CCL00504	CCL00504	37.53204167	-121.9339056	336566
LTE_Site	CCL00505	CCL00505	37.70578056	-122.1304	336567
LTE_Site	CCL00506	CCL00506	37.53369722	-122.3256472	336568
LTE_Site	CCL00508	CCL00508	37.48475556	-121.925875	336569
LTE_Site	CCL00510	CCL00510	37.80690278	-122.3062528	336570
