; #NetworkData - datafile

;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle


;ElementTypeName	LTE_SiteIDForCell	Sector_ID	Azimuth	Beamwidth	DL_EARFCN	PCI	MCC	MNC	ECI	TrackingAreaCode	CellType	ElementHandle


;ElementTypeName	SiteID	Site_Name	Latitude	Longitude	ElementHandle

WCDMA_Site	UBA00363	UBA00363	38.15949868	-121.7059948	4584
WCDMA_Site	USC05100	USC05100	39.15152709	-121.6622592	59014
WCDMA_Site	USC05161	USC05161	38.68072409	-121.7470266	59021
WCDMA_Site	USC06001	USC06001	38.57563674	-121.5240178	59028
WCDMA_Site	USC06002	USC06002	38.70380578	-121.3148864	59035
WCDMA_Site	USC06003	USC06003	38.56634991	-121.480661	59042
WCDMA_Site	USC06004	USC06004	38.56524967	-121.5100325	59049
WCDMA_Site	USC06005	USC06005	38.57935697	-121.493497	59056
WCDMA_Site	USC06006	USC06006	38.59563129	-121.4941902	59063
WCDMA_Site	USC06007	USC06007	38.65603468	-121.2720157	59070
WCDMA_Site	USC06008	USC06008	38.57274859	-121.4995696	59077
WCDMA_Site	USC06009	USC06009	38.5780279	-121.4833882	59084
WCDMA_Site	USC06010	USC06010	38.68331075	-121.3347271	59091
WCDMA_Site	USC06011	USC06011	38.43074297	-121.3194205	59098
WCDMA_Site	USC06012	USC06012	38.5881139	-121.5301804	59105
WCDMA_Site	USC06013	USC06013	38.70548292	-121.2729763	59112
WCDMA_Site	USC06014	USC06014	38.66446521	-121.2626415	59119
WCDMA_Site	USC06015	USC06015	38.6776115	-121.2367122	59126
WCDMA_Site	USC06016	USC06016	38.6171143	-121.349261	59133
WCDMA_Site	USC06017	USC06017	38.55503699	-121.4392873	59140
WCDMA_Site	USC06018	USC06018	38.57164121	-121.4877467	59147
WCDMA_Site	USC06020	USC06020	38.68797805	-121.3083367	59154
WCDMA_Site	USC06021	USC06021	38.59804245	-121.4456593	59161
WCDMA_Site	USC06022	USC06022	38.62554397	-121.4113968	59168
WCDMA_Site	USC06023	USC06023	38.64372235	-121.3872455	59175
WCDMA_Site	USC06024	USC06024	38.66363683	-121.3485035	59182
WCDMA_Site	USC06025	USC06025	38.50809942	-121.3700226	59189
WCDMA_Site	USC06026	USC06026	38.65976444	-121.327745	59196
WCDMA_Site	USC06027	USC06027	38.57568955	-121.1849349	59203
WCDMA_Site	USC06028	USC06028	38.49175041	-121.408492	59210
WCDMA_Site	USC06029	USC06029	38.5521947	-121.4242126	59217
WCDMA_Site	USC06031	USC06031	38.56436292	-121.3358926	59224
WCDMA_Site	USC06033	USC06033	38.53394002	-121.4747233	59231
WCDMA_Site	USC06036	USC06036	38.63522913	-121.1997819	59238
WCDMA_Site	USC06037	USC06037	38.47414091	-121.4956666	59245
WCDMA_Site	USC06038	USC06038	38.51405355	-121.5226383	59252
WCDMA_Site	USC06039	USC06039	38.49099382	-121.4393172	59259
WCDMA_Site	USC06042	USC06042	38.5627302	-121.5231227	59266
WCDMA_Site	USC06044	USC06044	38.55542811	-121.6434966	59271
WCDMA_Site	USC06045	USC06045	38.54691847	-121.7291677	59278
WCDMA_Site	USC06056	USC06056	38.63804889	-121.406571	59285
